,Unnamed: 0,제 53 기,제 52 기,제 51 기
0,자산,nan0,nan0,nan0
1,유동자산,13338032506951.00,12469315864941.00,1980098794350.00
2,현금및현금성자산,2698530047186.00,2066404434255.00,304729405384.00
3,단기금융상품,1058872464092.00,65704789868.00,68610000000.00
4,단기매도가능금융자산,2032555147.00,1089494861.00,876860000.00
5,매출채권,5383852843921.00,5633953353495.00,931930789540.00
6,기타유동자산,2881915458432.00,3316118299112.00,138412710476.00
7,재고자산,1312829138173.00,1386045493350.00,535539028950.00
8,매각예정자산,20521949341.00,71815776563.00,nan0
9,비유동자산,31099960933371.00,29820299323633.00,7531332617106.00
10,매도가능금융자산,17497195967700.00,15975618367945.00,4568135529309.00
11,관계기업 및 공동기업 투자,5699709108051.00,5642058394513.00,367285969468.00
12,유형자산,5281208823038.00,5134281873664.00,2131787309098.00
13,투자부동산,116280966914.00,133046246566.00,8305388417.00
14,생물자산,2504971000.00,2415119435.00,nan0
15,무형자산,1601302846865.00,1840171861983.00,274750334550.00
16,이연법인세자산,52815645641.00,43095015908.00,18829739468.00
17,기타비유동자산,848942604162.00,1049612443619.00,162238346796.00
18,자산총계,44458515389663.00,42361430965137.00,9511431411456.00
19,부채,nan0,nan0,nan0
20,유동부채,14704948364331.00,15074383088757.00,1265544425218.00
21,매입채무,1823809668627.00,1738438472545.00,267921134690.00
22,단기차입금,1865815270275.00,2286527547843.00,63252708354.00
23,유동성장기채무,1607366876850.00,1516718657849.00,311570526841.00
24,당기법인세부채,51527848972.00,150110379697.00,123138388005.00
25,기타유동부채,9356428699607.00,9382588030823.00,499661667328.00
26,비유동부채,8647856338361.00,8973112258044.00,2960597137865.00
27,사채 및 장기차입금,3657277698204.00,3943011404511.00,1385103317615.00
28,순확정급여부채,100687333311.00,121425319331.00,17101269735.00
29,이연법인세부채,4253106577684.00,3942461720724.00,1020622799932.00
30,충당부채,278292233656.00,240658946590.00,1051160849.00
31,기타비유동부채,358492495506.00,725554866888.00,536718589734.00
32,부채총계,23352804702692.00,24047495346801.00,4226141563083.00
33,자본,nan0,nan0,nan0
34,지배기업 소유주지분,18301586552940.00,16501678477652.00,5283060804626.00
35,자본금,19131748300.00,19131748300.00,13500000000.00
36,연결자본잉여금,10468266027901.00,10039685039551.00,575284541800.00
37,기타자본,2584211217939.00,1231965571627.00,2211999765110.00
38,연결이익잉여금,5229977558800.00,5210896118174.00,2482276497716.00
39,비지배지분,2804124134031.00,1812257140684.00,2229043747.00
40,자본총계,21105710686971.00,18313935618336.00,5285289848373.00
41,부채와자본총계,44458515389663.00,42361430965137.00,9511431411456.00
42,매출액,281026838226180,133446753704140,51295644260330
43,매출원가,247709513803270,111987221623690,34968684814810
44,매출총이익,33317324422910,21459532080450,16326959445520
45,판매비와관리비,31922078510200,21088148586290,14192845766370
46,영업이익,1395245912710,371383494160,2134113679150
47,기타수익,14993076873670,35103008480810,595415152950
48,기타비용,13640118857200,5581363057420,354790705900
49,금융수익,3204383360760,1030129980170,116369672000
50,금융비용,3544706124850,1557809199980,653221050570
51,지분법이익,167333165200,28420499510,19053580210
52,지분법손실,1677417013800,1636475284980,388254629140
53,계속사업 법인세비용차감전순이익,897797316490,27757294912270,1468685698700
54,계속사업 법인세비용,689378047360,900783750810,552928160860
55,계속사업이익,208419269130,26856511161460,915757537840
56,중단영업이익,nan0,nan0,3634966059990
57,당기순이익,208419269130,26856511161460,4550723597830
58,기타포괄손익,13778110838990,4578793766200,3564971912850
59,후속적으로 당기손익으로 재분류되는 포괄손익,13832813038900,4752367950530,3676497876040
60,후속적으로 당기손익으로 재분류되지 않는 포괄손익,"(5,470,219,991)0","(17,357,418,433)0","(11,152,596,319)0"
61,총포괄손익,13986530108120,31435304927660,8115695510680
62,당기순이익의 귀속,nan0,nan0,nan0
63,지배기업 소유주지분,1073569468620,27468123049470,4556469749310
64,비지배지분,"(86,515,019,949)0","(61,161,188,801)0","(574,615,148)0"
65,총포괄손익의 귀속,nan0,nan0,nan0
66,지배기업 소유주지분,14757319804890,31931524335070,8121229124210
67,비지배지분,"(77,078,969,677)0","(49,621,940,741)0","(553,361,353)0"
68,주당손익,nan0,nan0,nan0
69,기본주당순이익,6500,206360,42840
70,계속사업 주당이익,6500,206360,8660
71,중단사업 주당이익,nan0,nan0,34180
72,영업활동으로 인한 현금흐름,13553952432670,"(62,347,860,144)0",1431138725180
73,영업으로부터 창출된 현금,14112956500290,2232858426770,2802722197630
74,이자의 수취,1649459031380,390564185580,37653774230
75,이자의 지급,"(244,899,856,936)0","(110,469,075,744)0","(62,253,789,194)0"
76,배당금의 수취,2784120952650,765399278380,348691996990
77,법인세의 납부,"(254,358,548,229)0","(290,760,973,473)0","(113,539,135,173)0"
78,투자활동으로 인한 현금흐름,"(812,089,431,935)0",23686318649740,544499621120
79,투자활동으로 인한 현금유입액,12063535235280,29196703296790,5867408745520
80,매각예정자산의 처분,860844790730,560529074860,nan0
81,단기금융상품의 순감소,nan0,443082735370,nan0
82,단기대여금의 회수,448308340890,56073403370,16393129000
83,유동성장기채권의 회수,567691624590,3861571930,nan0
84,매도가능금융자산의 처분,4257553479070,17946897710,4308600000
85,종속기업투자의 처분,42630057510,119986596080,nan0
86,관계기업 및 공동기업투자의 처분,3249832001900,215045485250,6364386270
87,장기채권의 회수,422560075410,nan0,nan0
88,보증금의 감소,1032225846310,453589421150,246699380000
89,유형자산의 처분,1076223422490,263970917650,46683485220
90,무형자산의 처분,13852130870,33768200640,197000000
91,투자부동산의 처분,64632053090,nan0,nan0
92,사업결합으로 인한 현금유입,nan0,27028813733480,nan0
93,사업부문 양도로 인한 현금유입,nan0,nan0,4947733226860
94,사업부문 양수로 인한 현금유입,nan0,nan0,599029538170
95,기타비유동자산의 처분,27181412420,35259300,nan0
96,투자활동으로 인한 현금유출액,"(2,018,442,955,463)0","(551,038,464,705)0","(532,290,912,440)0"
97,단기금융상품의 증가,9929026750840,nan0,647458434000
98,매도가능금융자산의 취득,1081173624000,91580345000,17446400020
99,관계기업 및 공동기업투자의 취득,2731969665010,1550179884800,2373999903520
100,해외자원개발자금의 증가,827293890,774285730,nan0
101,장기채권의 증가,457179533180,253324031430,200000000
102,보증금의 증가,631799314630,482533811530,263543048720
103,유형자산의 취득,4846520845280,2594917924740,1855968758350
104,무형자산의 취득,481925757410,411237658520,164292579790
105,사업결합등으로 인한 순현금유출액,nan0,111095995640,nan0
106,기타비유동자산의 증가,24006770390,14740709660,nan0
107,재무활동으로 인한 현금흐름,1224277954440,"(527,369,324,170)0","(45,641,061,169)0"
108,재무활동으로 인한 현금유입액,28465154628410,2561840126260,10793482669980
109,단기차입금의 순증가,nan0,1400615107080,nan0
110,사채의 발행,8672038000000,nan0,4982200000000
111,장기차입금의 차입,5113887813240,1161225019180,565410000000
112,유상증자,nan0,nan0,5245872669980
113,비지배지분에 대한 순증감,14679228815170,nan0,nan0
114,재무활동으로 인한 현금유출액,"(2,724,087,667,397)0","(783,553,336,796)0","(1,124,989,328,167)0"
115,단기차입금의 순감소,4823510880220,nan0,6874647332490
116,유동성장기채무의 상환,11295471421130,3207852380710,4375245949180
117,장기차입금의 조기상환,3485865989440,216428515130,nan0
118,금융보증부채의 지급,nan0,200000000000,nan0
119,임대보증금의 감소,nan0,151594430,nan0
120,배당금의 지급,838930235500,nan0,nan0
121,자기주식의 취득,6755256602000,4155961779290,nan0
122,비지배지분에 대한 배당,28089680790,36495661650,nan0
123,비지배지분에 대한 순증감,nan0,1794729480,nan0
124,기타자본의 증감,13751864890,16848707270,nan0
125,현금및현금성자산의순증가(감소),6657336067760,17789146806600,1519227734610
126,기초현금및현금성자산,20664044342550,3047294053840,1517009656270
127,현금및현금성자산에대한 환율변동효과,"(33,607,993,845)0","(17,239,651,789)0",11056662960
128,기말현금및현금성자산,26985300471860,20664044342550,3047294053840
